Timestamp,VoltageRmsMin,VoltageRmsAvg,VoltageRmsMax,CurrentRmsMin,CurrentRmsAvg,CurrentRmsMax,RealPowerMin,RealPowerAvg,RealPowerMax,ReactivePowerMin,ReactivePowerAvg,ReactivePowerMax,ApparentPowerMin,ApparentPowerAvg,ApparentPowerMax,FrequencyMin,FrequencyAvg,FrequencyMax,RowIndex
2023-06-19 11:08:00,196.4,200.4,208.2,0.321,20.173,30.346,0,3.968,5.966,-0.063,0.101,0.225,0.067,3.998,5.973,59.993,59.998,60.014,1
2023-06-19 11:09:00,196.4,196.7,197.2,29.842,30.14,30.346,5.864,5.923,5.969,0.136,0.146,0.158,5.873,5.931,5.977,59.981,59.992,60.008,2
2023-06-19 11:10:00,196.3,196.7,197.2,29.842,30.162,30.357,5.866,5.927,5.969,0.135,0.145,0.157,5.874,5.935,5.978,60.001,60.013,60.032,3
2023-06-19 11:11:00,196,196.5,197.3,29.819,30.082,30.346,5.865,5.906,5.963,0.133,0.143,0.156,5.873,5.913,5.97,59.993,60.014,60.034,4
2023-06-19 11:12:00,196.3,196.7,197.2,29.853,30.094,30.357,5.867,5.914,5.97,0.134,0.145,0.157,5.876,5.922,5.978,60.008,60.018,60.036,5
2023-06-19 11:13:00,196.1,196.7,197.3,29.807,30.071,30.334,5.863,5.907,5.962,0.131,0.145,0.159,5.872,5.915,5.97,59.983,60,60.016,6
2023-06-19 11:14:00,196,196.5,197.1,29.853,30.151,30.346,5.862,5.92,5.968,0.134,0.145,0.159,5.871,5.928,5.975,60.003,60.017,60.035,7
2023-06-19 11:15:00,196.3,196.7,197.2,29.842,30.197,30.357,5.867,5.932,5.973,0.136,0.146,0.158,5.876,5.94,5.98,59.994,60.016,60.036,8
2023-06-19 11:16:00,196.1,196.7,197.4,29.83,30.14,30.346,5.866,5.921,5.972,0.135,0.145,0.158,5.873,5.929,5.979,60.02,60.03,60.038,9
2023-06-19 11:17:00,196.1,196.6,197.3,29.842,30.151,30.346,5.859,5.922,5.966,0.136,0.145,0.158,5.867,5.93,5.973,60.006,60.017,60.037,10
2023-06-19 11:18:00,196,196.6,197.1,29.876,30.151,30.346,5.862,5.92,5.969,0.135,0.145,0.157,5.87,5.928,5.978,60.021,60.028,60.037,11
2023-06-19 11:19:00,196,196.5,197.2,29.83,30.128,30.346,5.86,5.914,5.964,0.134,0.144,0.158,5.868,5.922,5.972,60.015,60.022,60.033,12
2023-06-19 11:20:00,195.7,196.5,197,29.91,30.22,30.369,5.869,5.931,5.967,0.135,0.145,0.157,5.878,5.939,5.976,59.986,60.002,60.015,13
2023-06-19 11:21:00,195.5,196.4,197,29.922,30.22,30.334,5.864,5.928,5.962,0.13,0.144,0.157,5.873,5.936,5.969,59.995,60.003,60.011,14
2023-06-19 11:22:00,196,196.5,197.1,29.853,30.151,30.346,5.864,5.919,5.961,0.135,0.145,0.158,5.871,5.927,5.968,60.002,60.018,60.027,15
2023-06-19 11:23:00,196.2,196.6,197.2,29.842,30.128,30.346,5.866,5.92,5.968,0.136,0.145,0.158,5.873,5.927,5.975,60.015,60.029,60.041,16
2023-06-19 11:24:00,196.2,196.7,197.3,29.842,30.128,30.357,5.861,5.92,5.968,0.134,0.144,0.157,5.87,5.927,5.974,60.03,60.037,60.045,17
2023-06-19 11:25:00,196.2,196.7,197.2,29.842,30.14,30.346,5.862,5.922,5.97,0.135,0.144,0.157,5.87,5.93,5.976,60.03,60.035,60.041,18
2023-06-19 11:26:00,196.2,196.6,197.2,29.865,30.14,30.346,5.866,5.92,5.967,0.134,0.145,0.157,5.873,5.928,5.974,60.026,60.036,60.043,19
2023-06-19 11:27:00,196.1,196.7,197.3,29.842,30.14,30.357,5.865,5.922,5.971,0.137,0.146,0.158,5.873,5.93,5.98,60.009,60.024,60.04,20
2023-06-19 11:28:00,196.1,196.6,197.1,29.865,30.14,30.346,5.866,5.918,5.964,0.131,0.144,0.157,5.875,5.926,5.972,60.016,60.028,60.039,21
2023-06-19 11:29:00,196,196.5,197.1,29.888,30.162,30.357,5.862,5.921,5.963,0.13,0.144,0.157,5.871,5.929,5.971,60.007,60.022,60.034,22
2023-06-19 11:30:00,195.9,196.5,197.1,29.865,30.094,30.346,5.864,5.906,5.96,0.133,0.143,0.157,5.874,5.914,5.968,60.004,60.018,60.036,23
2023-06-19 11:31:00,196.1,196.5,197.1,29.876,30.059,30.3,5.864,5.901,5.948,0.134,0.145,0.159,5.874,5.909,5.956,59.995,60.005,60.015,24
2023-06-19 11:32:00,196.1,196.6,197.2,29.865,30.059,30.231,5.86,5.902,5.942,0.135,0.145,0.157,5.867,5.91,5.95,59.989,60.005,60.013,25
2023-06-19 11:33:00,196.1,196.5,197,29.876,30.071,30.266,5.862,5.903,5.946,0.134,0.145,0.158,5.872,5.911,5.955,59.995,60.007,60.024,26
2023-06-19 11:34:00,196,196.5,197,29.876,30.117,30.346,5.861,5.911,5.963,0.135,0.145,0.158,5.869,5.919,5.971,59.989,60.01,60.024,27
2023-06-19 11:35:00,195.8,196.5,197.1,29.888,30.094,30.346,5.849,5.907,5.955,0.137,0.146,0.158,5.858,5.915,5.963,59.983,59.999,60.012,28
2023-06-19 11:36:00,195.9,196.4,196.9,29.876,30.082,30.323,5.861,5.902,5.951,0.134,0.144,0.157,5.871,5.91,5.959,59.996,60.002,60.01,29
2023-06-19 11:37:00,195.9,196.5,197,29.922,30.174,30.357,5.873,5.922,5.969,0.134,0.145,0.158,5.882,5.93,5.977,59.99,60.002,60.013,30
2023-06-19 11:38:00,196,196.5,197.1,29.888,30.162,30.357,5.867,5.92,5.968,0.135,0.145,0.157,5.875,5.928,5.976,59.981,59.993,60.005,31
2023-06-19 11:39:00,196.2,196.6,197.2,29.876,30.174,30.346,5.864,5.928,5.967,0.136,0.146,0.158,5.872,5.936,5.976,59.977,60,60.028,32
2023-06-19 11:40:00,196.1,196.6,197.2,29.853,30.117,30.369,5.862,5.915,5.967,0.135,0.146,0.159,5.87,5.923,5.977,59.974,59.988,60.017,33
2023-06-19 11:41:00,195.9,196.5,196.9,29.899,30.082,30.277,5.86,5.904,5.94,0.135,0.144,0.158,5.871,5.912,5.947,59.989,60.004,60.015,34
2023-06-19 11:42:00,196,196.5,197,29.922,30.174,30.357,5.869,5.922,5.965,0.134,0.144,0.158,5.877,5.93,5.973,59.996,60.001,60.013,35
2023-06-19 11:43:00,196,196.5,197.1,29.888,30.14,30.346,5.864,5.916,5.962,0.135,0.144,0.157,5.872,5.924,5.97,59.991,60.004,60.018,36
2023-06-19 11:44:00,195.8,196.4,197,29.899,30.105,30.3,5.862,5.904,5.942,0.132,0.144,0.157,5.87,5.912,5.949,59.993,60.005,60.022,37
2023-06-19 11:45:00,196,196.5,197,29.888,30.094,30.357,5.865,5.906,5.96,0.136,0.145,0.158,5.871,5.914,5.967,59.983,59.996,60.019,38
2023-06-19 11:46:00,195.9,196.4,197,29.865,30.14,30.334,5.859,5.914,5.959,0.132,0.144,0.158,5.869,5.922,5.966,59.99,60.006,60.014,39
2023-06-19 11:47:00,195.9,196.4,196.9,29.933,30.174,30.346,5.865,5.919,5.966,0.133,0.144,0.157,5.873,5.926,5.974,59.988,60.003,60.022,40
2023-06-19 11:48:00,195.8,196.4,196.9,29.91,30.162,30.346,5.865,5.916,5.961,0.133,0.144,0.156,5.873,5.924,5.969,59.994,60.001,60.01,41
2023-06-19 11:49:00,195.8,196.4,197,29.876,30.128,30.346,5.864,5.912,5.962,0.135,0.145,0.157,5.873,5.92,5.969,59.976,59.987,60.004,42
2023-06-19 11:50:00,195.8,196.3,196.9,29.91,30.151,30.346,5.866,5.912,5.96,0.136,0.145,0.156,5.873,5.92,5.967,59.97,59.988,60.004,43
2023-06-19 11:51:00,196,196.5,197,29.876,30.151,30.346,5.862,5.916,5.961,0.134,0.145,0.158,5.871,5.924,5.968,59.972,59.99,60,44
2023-06-19 11:52:00,195.8,196.4,196.9,29.888,30.128,30.346,5.866,5.912,5.956,0.136,0.146,0.158,5.875,5.92,5.964,59.979,59.987,59.999,45
2023-06-19 11:53:00,195.7,196.3,197.1,29.865,30.128,30.334,5.86,5.908,5.951,0.135,0.145,0.159,5.868,5.916,5.958,59.985,59.998,60.017,46
2023-06-19 11:54:00,195.5,196.1,196.8,29.945,30.14,30.346,5.861,5.904,5.943,0.133,0.144,0.157,5.869,5.912,5.951,59.987,59.999,60.009,47
2023-06-19 11:55:00,195.5,196.1,196.6,29.945,30.162,30.346,5.866,5.909,5.952,0.135,0.145,0.156,5.874,5.917,5.96,59.99,60.011,60.025,48
2023-06-19 11:56:00,195.6,196.1,196.7,29.933,30.128,30.334,5.862,5.902,5.952,0.134,0.145,0.157,5.871,5.91,5.958,59.995,60.01,60.033,49
2023-06-19 11:57:00,195.8,196.1,196.6,29.945,30.128,30.323,5.862,5.903,5.94,0.134,0.145,0.157,5.87,5.911,5.95,59.985,59.999,60.03,50
2023-06-19 11:58:00,195.7,196.1,196.6,29.956,30.14,30.311,5.865,5.904,5.939,0.136,0.145,0.158,5.873,5.912,5.946,59.977,59.987,59.999,51
2023-06-19 11:59:00,195.6,196.1,196.7,29.945,30.151,30.346,5.863,5.907,5.954,0.135,0.144,0.156,5.87,5.915,5.962,59.975,59.988,59.999,52
2023-06-19 12:00:00,195.5,196.1,196.7,29.945,30.14,30.346,5.862,5.904,5.95,0.134,0.144,0.157,5.869,5.912,5.957,59.974,59.992,60.013,53
